Month,Orders
2022-09-13,44
2019-12-27,96
2019-04-10,64
2022-03-17,6
2019-09-14,89
2022-08-18,190
2019-12-14,63
2022-08-05,158
2019-03-12,36
2021-02-05,176
2020-11-05,85
2021-01-24,123
2022-10-27,105
2019-10-21,45
2022-04-04,29
2021-06-17,108
2019-06-22,151
2019-12-01,57
2021-11-11,12
2022-07-26,15
2019-12-09,39
2019-03-18,128
2022-04-15,74
2019-05-05,79
2019-07-26,102
2020-03-06,91
2022-11-22,37
2022-09-29,150
2022-12-31,86
2022-01-29,195
2022-04-16,85
2021-05-06,132
2020-10-13,132
2021-12-28,27
2021-11-16,199
2022-06-29,59
2019-06-09,156
2020-09-25,193
2021-05-19,190
2020-01-16,178
2022-01-24,91
2022-01-08,186
2019-06-30,200
2021-10-26,140
2022-02-27,15
2019-08-10,134
2021-09-26,127
2019-04-29,168
2022-02-23,56
2020-11-08,152
2022-05-08,164
2022-10-22,6
2019-10-17,117
2021-10-12,137
2019-01-05,120
2019-02-22,50
2021-04-27,159
2020-08-10,99
2021-06-10,191
2019-09-30,32
2019-09-25,75
2019-01-12,41
2021-11-02,188
2020-08-29,106
2020-08-20,93
2019-04-01,43
2022-02-23,119
2020-06-01,188
2019-01-10,68
2020-09-29,158
2019-08-20,30
2020-11-16,130
2020-07-26,32
2020-12-06,32
2019-02-07,47
2021-01-24,108
2019-10-29,168
2022-02-27,152
2020-11-28,13
2019-03-28,14
2021-01-11,79
2019-09-08,64
2020-11-29,151
2019-02-11,126
2019-07-07,53
2021-08-10,139
2022-06-21,14
2019-08-30,183
2019-05-03,129
2021-04-24,133
2021-01-25,49
2021-11-29,63
2021-09-17,118
2019-10-06,85
2020-12-22,55
2021-08-31,41
2020-11-03,24
2021-03-30,58
2022-03-23,129
2021-07-20,82
2019-05-14,184
2019-12-09,185
2021-06-20,94
2020-02-25,199
2021-03-22,114
2019-08-13,121
2021-07-02,107
2022-04-22,112
2022-05-02,193
2021-12-01,66
2019-06-17,60
2020-01-10,169
2022-03-22,44
2020-02-10,100
2020-06-28,86
2019-06-01,30
2021-05-23,60
2021-09-02,200
2022-09-23,26
2022-02-15,180
2021-12-11,91
2022-12-22,174
2022-11-04,195
2020-10-24,10
2021-01-06,94
2022-02-10,49
2021-07-26,36
2022-10-21,55
2022-09-17,121
2019-06-23,17
2021-06-08,19
2020-06-14,147
2020-03-01,177
2019-12-21,3
2019-09-08,151
2020-08-07,72
2020-08-12,98
2019-05-29,137
2020-11-24,134
2022-04-03,94
2021-06-11,77
2019-08-01,61
2019-02-27,92
2022-04-01,34
2021-09-02,181
2020-03-16,135
2020-01-05,10
2021-06-03,38
2020-05-30,7
2022-10-27,140
2022-10-26,122
2021-10-15,111
2020-01-06,120
2020-07-29,45
2019-05-02,148
2020-09-28,47
2020-01-21,150
2021-12-01,143
2021-09-05,24
2021-09-28,200
2020-10-24,127
2022-04-21,23
2020-06-11,140
2021-01-24,151
2019-11-29,70
2021-08-29,104
2021-04-29,140
2022-04-02,49
2022-04-04,33
2022-12-11,117
2022-06-24,126
2019-05-10,63
2019-01-21,59
2019-03-10,124
2021-07-13,86
2022-06-12,146
2019-01-22,113
2019-02-24,141
2022-01-17,19
2022-10-13,126
2019-08-06,106
2020-05-31,195
2022-03-16,158
2020-02-12,174
2019-11-20,47
2020-09-15,63
2021-07-13,187
2020-08-22,69
2019-05-28,154
2019-05-17,185
2020-07-05,147
2020-11-16,34
2022-09-06,163
2021-09-18,138
2020-03-28,79
2022-03-27,136
2021-03-12,6
2022-02-04,153
2021-03-08,125
2019-08-31,140
2021-05-26,140
2021-05-12,141
2022-08-27,112
2020-01-31,188
2019-08-13,136
2020-03-09,69
2020-05-10,179
2020-09-03,111
2022-05-22,46
2022-02-24,185
2021-02-19,144
2021-10-04,28
2020-11-21,139
2022-03-21,18
2022-02-06,117
2020-11-28,45
2020-06-29,193
2019-04-04,115
2019-04-28,166
2022-12-04,26
2020-09-16,181
2021-01-10,25
2020-03-03,47
2020-04-15,10
2022-12-16,20
2020-07-23,114
2021-05-11,181
2019-01-18,179
2022-04-12,200
2020-05-22,163
2021-10-14,183
2021-05-15,3
2022-06-27,177
2019-11-21,178
2020-04-04,149
2020-07-26,196
2022-06-05,28
2021-10-28,145
2021-09-03,40
2019-04-22,199
2020-09-01,12
2019-10-12,11
2020-11-19,77
2021-08-06,167
2019-01-19,137
2022-01-11,105
2020-09-20,155
2019-02-13,3
2019-08-27,107
2020-11-07,141
2022-05-04,144
2020-05-09,64
2021-02-06,170
2019-04-12,18
2020-07-12,5
2022-05-26,82
2020-03-26,73
2019-03-03,94
2022-10-20,18
2020-02-21,172
2021-03-06,139
2022-12-24,123
2020-05-04,13
2021-09-26,143
2020-12-25,157
2020-08-04,24
2019-09-21,3
2020-06-11,137
2021-01-09,59
2021-05-26,72
2020-03-14,176
2020-04-03,158
2021-06-01,93
2022-01-21,40
2021-09-05,116
2020-08-22,14
2020-05-17,195
2021-09-02,78
2019-05-22,49
2021-01-12,62
2019-01-28,65
2022-01-01,108
2019-06-23,64
2020-09-23,91
2021-08-05,114
2019-10-04,40
2021-09-27,165
2021-11-22,162
2019-11-09,67
2020-04-06,112
2019-10-25,128
2021-03-01,65
2021-02-27,114
2020-03-03,154
2020-02-28,155
2022-11-27,45
2022-01-27,73
2019-01-07,166
2021-11-12,113
2022-05-15,25
2021-02-13,26
2022-08-15,163
2022-01-29,89
2022-07-04,117
2020-11-07,76
2019-03-01,163
2022-05-09,13
2020-06-26,146
2020-01-17,71
2019-04-26,110
2019-06-06,156
2021-05-10,94
2022-01-15,71
2019-07-01,35
2020-11-17,99
2020-05-17,91
2020-01-20,139
2019-11-07,28
2022-04-15,195
2022-06-27,12
2020-08-30,183
2019-05-08,96
2019-01-13,119
2021-12-24,55
2021-01-20,198
2021-12-29,67
2021-07-19,107
2020-10-10,34
2021-12-04,164
2020-03-22,110
2021-06-13,146
2019-08-12,17
2021-01-05,153
2019-11-16,64
2022-07-15,4
2019-10-25,159
2020-02-15,53
2019-05-06,46
2022-03-04,150
2021-02-28,20
2020-10-15,169
2022-01-14,175
2020-02-17,15
2020-02-09,155
2021-06-10,171
2019-09-01,27
2020-04-28,53
2021-06-14,157
2020-05-09,101
2021-05-09,11
2020-05-01,19
2021-04-25,124
2020-12-19,180
2022-05-08,17
2021-01-30,200
2022-02-24,23
2019-09-15,1
2022-08-29,186
2022-07-02,151
2022-12-14,108
2021-08-30,101
2022-03-20,101
2019-08-16,34
2022-10-21,183
2019-08-29,55
2020-08-09,170
2019-09-09,180
2022-06-20,175
2022-08-31,56
2022-03-27,104
2021-11-01,159
2022-10-25,95
2021-08-09,188
2021-01-08,45
2022-10-24,171
2019-03-31,93
2019-09-17,108
2020-05-13,163
2020-06-17,101
2020-04-25,182
2022-08-16,171
2020-10-11,82
2019-07-09,156
2020-05-18,118
2019-12-24,82
2019-05-26,141
2021-04-29,97
2021-08-13,26
2020-11-19,171
2021-01-23,2
2019-09-05,84
2019-08-03,167
2019-10-24,148
2019-08-03,171
2019-10-15,33
2020-05-21,186
2021-01-27,146
2022-08-22,114
2022-04-13,55
2021-07-13,54
2022-12-19,183
2020-05-18,96
2020-09-24,186
2019-01-06,64
2021-03-18,130
2020-05-17,15
2020-02-21,200
2020-10-20,76
2020-05-14,94
2020-08-20,198
2020-05-18,109
2019-01-27,96
2020-06-21,89
2020-03-06,151
2021-07-16,10
2021-12-11,170
2022-11-09,153
2020-09-03,99
2019-10-14,142
2020-07-24,83
2021-03-22,4
2022-11-08,93
2022-03-27,12
2019-02-08,17
2019-10-18,67
2022-02-12,89
2020-01-16,79
2022-03-08,63
2021-07-06,44
2020-12-22,53
2020-04-22,31
2020-06-19,148
2022-03-07,158
2020-10-15,130
2021-09-21,15
2021-07-10,90
2019-09-05,116
2019-08-02,90
2021-06-16,178
2019-09-19,31
2022-01-29,153
2019-08-03,143
2019-08-13,41
2020-02-18,19
2020-08-02,42
2019-10-21,163
2021-06-12,48
2019-06-06,159
2019-07-22,127
2021-02-24,125
2019-07-01,196
2020-11-04,110
2021-01-16,189
2019-04-25,183
2019-06-17,142
2022-12-27,48
2019-06-14,62
2022-07-29,44
2022-12-16,38
2019-09-02,112
2020-11-09,33
2020-10-06,47
2021-10-14,106
2021-11-01,46
2019-03-30,178
2019-10-13,46
2021-12-23,117
2020-09-06,45
2022-03-04,41
2022-12-19,192
2020-05-06,63
2021-11-21,118
2022-11-04,191
2020-12-31,15
2021-05-13,191
2020-11-28,131
2020-10-10,188
2021-07-17,106
2022-11-15,30
2020-02-05,118
2021-12-21,10
2022-04-18,53
2022-01-28,53
2021-06-29,159
2021-07-22,130
2022-01-03,38
2020-03-08,126
2021-12-01,131
2022-08-09,132
2020-11-10,64
2019-12-12,172
2019-01-27,5
2019-06-23,144
2022-09-25,148
2022-09-16,52
2019-05-02,99
2022-03-07,176
2019-06-17,70
2020-01-31,170
2021-01-01,54
2020-01-27,197
2022-06-24,15
2021-03-03,46
2022-03-10,89
2019-12-07,108
2021-11-01,199
2021-01-04,54
2020-05-26,92
2022-04-22,127
2020-05-11,161
2022-03-04,191
2020-03-23,166
2022-09-01,2
2021-06-30,50
2019-02-15,111
2020-08-28,50
2020-02-25,25
2019-12-08,13
2021-01-04,33
2019-02-18,94
2020-12-15,183
2020-07-05,147
2019-10-24,162
2022-06-23,23
2019-10-04,156
2019-02-23,106
2019-12-06,182
2022-04-23,76
2020-01-07,75
2020-02-21,13
2021-09-16,32
2019-05-18,44
2022-05-02,21
2021-08-29,42
2020-12-03,132
2022-12-30,118
2020-04-26,78
2019-12-05,15
2021-06-29,52
2021-08-03,176
2020-11-15,81
2019-10-29,90
2022-08-10,31
2021-11-10,181
2020-07-02,192
2022-09-19,25
2020-07-05,51
2020-11-12,188
2019-08-24,161
2020-01-27,152
2022-12-30,142
2021-05-21,56
2019-09-29,21
2020-03-06,66
2020-11-15,46
2019-06-19,155
2020-08-04,23
2019-07-23,84
2020-08-28,14
2020-02-25,147
2021-10-06,110
2021-12-30,173
2020-12-21,79
2022-07-31,7
2021-10-03,62
2020-10-30,44
2019-09-03,95
2022-02-16,78
2020-04-16,123
2022-10-01,130
2022-07-09,181
2019-02-05,60
2022-12-12,133
2020-03-26,178
2021-05-26,186
2021-07-22,141
2019-07-21,116
2021-10-09,4
2019-07-19,20
2021-05-03,42
2021-12-04,71
2021-08-19,11
2022-11-26,107
2022-02-13,82
2022-09-22,62
2021-02-22,73
2020-04-14,149
2022-11-26,157
2019-10-12,166
2019-03-23,164
2020-11-14,17
2022-02-20,196
2022-09-28,85
2019-01-15,182
2020-10-17,78
2021-06-30,123
2019-10-19,40
2021-02-10,176
2020-03-14,84
2019-03-05,87
2021-04-22,42
2019-06-13,155
2022-09-16,67
2022-04-25,36
2019-05-02,42
2022-06-06,187
2022-08-14,41
2020-06-01,163
2022-04-04,176
2021-12-05,20
2022-09-16,172
2021-02-01,73
2022-07-10,183
2019-09-09,55
2022-03-19,124
2020-05-11,53
2020-11-28,116
2021-09-23,191
2021-10-13,113
2020-02-29,104
2020-06-29,111
2021-06-19,194
2021-02-28,115
2022-02-02,96
2020-09-14,142
2021-08-04,38
2020-12-27,26
2022-02-23,81
2020-05-27,181
2022-08-07,103
2021-08-01,102
2021-02-12,67
2020-04-21,83
2021-09-07,168
2022-01-30,19
2019-08-08,195
2019-12-28,161
2021-07-04,135
2019-01-26,60
2020-04-28,64
2021-04-06,135
2019-12-04,35
2022-04-08,2
2021-03-14,196
2022-04-19,37
2021-02-11,120
2021-03-15,145
2022-05-21,166
2020-11-19,47
2019-06-05,106
2021-06-15,155
2019-01-20,138
2021-09-23,97
2019-02-02,11
2021-02-01,57
2021-01-30,185
2021-09-08,121
2022-01-10,105
2020-12-29,73
2020-10-02,15
2019-05-22,50
2021-02-03,8
2021-08-19,42
2021-02-04,15
2019-11-05,147
2019-10-27,44
2022-05-08,117
2019-02-17,134
2021-10-10,63
2022-06-15,158
2020-08-01,111
2021-11-29,65
2020-10-21,89
2022-02-08,44
2022-05-24,145
2022-06-25,85
2021-05-17,38
2020-08-21,158
2019-07-01,96
2019-10-26,192
2021-11-18,48
2020-04-08,178
2022-06-30,180
2019-12-20,113
2019-03-22,195
2022-11-03,41
2021-11-13,152
2019-07-22,117
2019-02-19,68
2021-03-02,149
2019-03-16,19
2019-03-18,163
2022-08-15,40
2019-11-20,130
2022-07-18,1
2019-08-12,51
2019-11-06,33
2020-04-10,64
2020-03-02,143
2020-07-26,162
2022-04-07,75
2021-01-21,47
2022-04-24,27
2021-05-25,121
2022-08-28,56
2022-08-22,69
2021-03-13,109
2019-05-02,189
2019-07-31,34
2022-06-16,8
2021-08-07,99
2022-05-13,2
2022-06-27,159
2022-04-10,106
2022-03-30,33
2022-03-30,91
2021-03-29,194
2019-04-07,107
2022-02-06,173
2022-02-03,101
2021-09-19,13
2021-03-25,146
2020-08-04,37
2022-08-28,80
2020-04-16,188
2019-08-13,55
2022-07-05,56
2019-06-30,131
2020-02-27,4
2022-10-15,102
2022-01-23,103
2021-06-28,16
2021-04-09,5
2019-04-22,78
2019-07-30,70
2019-05-19,82
2019-06-12,36
2020-04-25,95
2019-08-20,15
2022-12-16,104
2020-09-15,188
2019-10-29,25
2022-07-04,114
2019-06-29,194
2020-10-10,8
2019-09-01,191
2019-12-13,52
2020-10-01,187
2019-04-16,164
2020-08-27,11
2020-03-23,50
2022-04-22,62
2020-01-11,83
2020-08-22,75
2021-08-14,198
2022-05-31,30
2019-10-12,168
2019-08-18,120
2021-05-24,98
2022-03-08,88
2022-12-31,38
2020-03-19,78
2020-09-15,95
2020-08-16,31
2020-11-20,17
2019-08-18,67
2019-01-01,161
2020-11-05,152
2021-03-05,12
2020-07-16,80
2019-09-02,14
2019-07-28,132
2022-04-14,47
2019-12-02,162
2020-08-18,185
2021-12-04,109
2021-06-23,64
2019-10-12,132
2022-12-19,138
2019-02-28,135
2020-01-07,40
2020-11-01,49
2022-09-10,178
2021-04-17,106
2020-03-30,19
2022-05-12,171
2021-08-01,74
2019-05-07,141
2022-09-23,79
2020-05-16,66
2022-02-15,158
2022-04-11,20
2021-04-08,163
2019-12-10,11
2022-06-12,104
2021-05-24,89
2020-08-01,170
2021-07-31,11
2019-02-28,5
2020-09-13,159
2019-11-03,160
2020-03-04,174
2020-03-17,112
2022-04-14,21
2021-04-12,115
2022-07-12,102
2019-12-09,73
2022-12-06,5
2020-06-24,176
2022-06-25,26
2019-06-16,80
2021-09-18,175
2020-09-06,174
2019-12-04,158
2020-01-31,20
2019-03-03,23
2019-01-14,95
2021-01-22,129
2020-10-25,84
2019-02-19,171
2019-01-28,29
2022-02-28,179
2019-05-10,68
2022-01-05,120
2019-08-26,135
2022-06-27,105
2021-11-26,31
2019-06-21,112
2020-01-21,3
2019-03-13,93
2020-03-19,114
2022-04-26,175
2020-01-30,49
2022-05-21,169
2022-01-31,83
2019-01-01,36
2021-09-19,130
2020-01-16,132
2022-08-11,12
2020-02-26,132
2019-12-20,67
2022-02-18,34
2020-07-07,191
2022-08-17,29
2019-06-19,152
2019-03-10,105
2020-04-18,47
2020-05-04,165
2022-11-22,195
2022-06-29,138
2022-01-31,97
2021-01-27,57
2021-06-12,120
2020-12-03,190
2020-01-28,21
2021-01-02,20
2021-05-31,100
2019-08-24,39
2020-12-22,20
2021-03-06,140
2021-06-25,189
2020-01-24,11
2021-05-18,153
2021-07-18,132
2020-01-03,170
2021-10-10,126
2021-07-18,22
2019-08-04,92
2021-01-27,151
2020-08-06,31
2020-02-11,192
2021-06-16,73
2020-01-30,183
2022-07-02,45
2020-11-14,59
2020-02-19,145
2019-02-16,56
2019-12-12,152
2020-05-31,23
2022-06-14,186
2020-04-05,168
2019-08-16,38
2021-06-24,124
2020-07-16,85
2021-09-28,59
2019-03-25,69
2022-01-15,96
2019-12-12,98
2022-03-15,155
2021-08-12,84
2019-08-22,200
2021-09-06,56
2021-10-01,35
2021-05-21,87
2022-01-11,188
2019-07-03,17
2022-06-07,138
2020-03-18,142
2021-08-03,96
2019-03-04,42
2021-02-21,117
2019-06-08,180
2022-04-27,193
2021-10-05,6
2019-04-10,176
2021-04-12,179
2022-06-12,172
2020-12-31,45
2022-09-28,137
2022-08-30,63
2021-10-05,117
2022-08-10,66
2022-08-21,77
2019-09-19,136
2019-08-09,77
2020-07-01,131
2019-06-05,81
2019-08-22,148
2022-08-10,178
2019-07-07,16
2022-04-05,140
2021-05-20,200
2021-01-01,153
2020-06-30,119
2021-11-04,38
2021-10-23,122
2019-12-02,145
2019-10-12,16
2020-02-22,195
2020-10-28,83
2021-02-25,193
2022-11-18,83
2022-02-16,165
2019-12-08,152
2021-09-25,153
2019-08-08,78
2022-08-25,76
2022-09-18,106
2020-01-04,74
2021-03-04,136
2020-02-15,38
2021-06-24,148
2022-09-07,155
2020-12-22,76
2021-10-09,53
2021-05-28,135
2022-12-08,129
2019-03-12,164
2021-10-09,87
2019-05-07,46
2021-08-02,180
2020-01-21,145
2021-09-20,25
2022-10-06,97
2022-03-20,2
2021-06-04,92
2019-02-04,158
2022-11-26,49
2020-12-29,168
2020-05-29,136
2020-03-28,125
2020-03-31,171
2021-05-19,35
2019-11-04,142
2020-11-08,79
2020-10-04,183
2020-11-21,150
2021-08-11,62
2020-05-25,17
2021-03-06,187
2021-03-15,53
2019-06-20,26
2020-06-28,145
2020-10-14,188
2021-04-12,132
2022-01-27,100
2020-10-15,61
2020-06-04,29
2020-01-22,60
2019-05-21,46
2022-08-29,153
2022-06-01,7
2021-07-18,152
2020-02-07,73
2021-05-14,14
2022-07-03,171
2022-07-05,145
2019-08-19,52
2021-06-13,54
2022-11-11,193
2021-04-22,90
2020-08-26,25
2021-03-17,157
2021-04-22,108
2022-06-26,97
2019-12-25,50
2021-06-22,90
2022-05-19,84
2021-11-12,51
2021-08-07,9
2020-12-05,34
2022-09-30,52
2021-11-10,150
2022-05-07,135
2022-08-11,119
2022-06-24,97
2021-03-14,111
2022-12-09,165
2020-10-27,200
2020-12-25,87
2020-08-10,135
2020-11-19,49
2021-05-05,124
2022-03-02,199
2019-03-27,121
2022-05-15,94
2019-03-18,22
2022-12-19,167
2019-05-29,86
2019-09-21,9
2022-07-22,190
2021-12-18,153
2019-12-16,9
2021-07-04,136
2019-04-24,97
2020-01-01,147
2020-09-25,169
2021-12-23,69
2019-10-03,100
2022-09-07,41
2021-12-13,36
2019-11-19,85
2021-10-28,33
2021-10-27,20
2021-12-15,27
2021-01-07,138
2020-11-19,127
2022-10-14,15
2020-12-17,124
2019-07-15,175
2021-06-03,91
2019-06-16,84
2020-07-22,49
2019-01-25,118
2021-04-14,78
2022-08-02,196
2022-04-20,71
2022-03-23,118
2021-02-07,193
2019-10-22,55
2022-08-25,54
2021-06-05,193
2020-12-23,157
2020-04-29,164
2019-02-01,162
2019-06-20,3
2019-02-28,50
2019-04-01,54
2019-12-16,103
2022-04-20,65
2019-01-28,106
2020-04-21,98
2020-12-09,140
2020-02-26,42
2019-03-09,48
2020-02-14,52
2020-12-26,48
2020-05-28,36
2022-08-27,141
2019-06-09,66
2021-02-08,127
2019-09-06,73
2020-10-30,103
2020-01-03,126
2022-08-20,134
2020-09-21,175
2019-12-19,114
2021-07-06,7
2019-09-03,38
2022-08-09,168
2021-06-11,101
2019-08-21,92
2021-02-28,180
2022-09-11,64
2019-05-24,99
2019-12-26,110
2022-02-16,101
2022-09-09,142
2020-02-23,22
2022-01-25,39
2021-10-08,130
2021-09-15,23
2022-12-08,160
2021-04-07,46
2019-03-16,13
2020-09-03,14
2019-01-10,154
2019-10-21,96
2020-10-12,167
2022-11-26,116
2020-11-02,195
2022-03-07,164
2021-02-26,70
2019-06-13,181
2022-04-11,71
2019-06-14,120
2022-05-20,193
2020-06-19,75
2020-01-02,91
2020-05-20,59
2022-06-26,111
2021-05-25,66
2019-02-05,50
2021-06-05,83
2019-05-30,60
2020-09-10,180
2021-05-18,104
2022-07-27,80
2019-02-05,5
2019-03-08,114
2021-05-14,150
2022-01-14,180
2019-08-03,145
2021-05-24,99
2019-03-19,102
2022-05-01,110
2019-11-29,96
2020-10-13,134
2022-04-11,36
2019-03-06,99
2019-02-10,1
2022-05-31,165
2020-04-22,117
2019-02-25,73
2022-01-03,183
2022-08-22,56
2019-06-02,32
2022-10-27,42
2020-11-23,48
2022-06-25,2
2021-11-05,96
2019-08-22,177
2020-02-08,142
2021-08-05,47
2019-03-16,59
2019-08-31,180
2020-02-28,23
2021-12-14,97
2022-06-17,87
2022-08-28,90
2022-11-22,76
2019-02-21,166
2020-09-20,36
2019-05-11,8
2022-02-23,5
2020-09-13,177
2022-03-31,135
2020-11-29,2
2022-07-02,77
2021-12-19,22
2021-02-26,171
2020-02-24,43
2019-04-29,100
2020-08-27,180
2019-09-08,125
2020-02-10,165
2019-03-11,173
2021-10-30,135
2019-08-09,186
2021-04-21,168
2020-12-23,89
2020-05-26,151
2020-08-01,102
2019-11-01,21
2022-06-17,163
2019-11-20,10
2021-02-22,63
2019-08-04,87
2021-06-01,178
2021-07-19,121
2022-12-29,162
2020-11-16,144
2019-02-10,153
2020-08-07,190
2019-05-07,33
2019-05-14,186
2020-02-12,166
2020-01-21,151
2021-06-17,3
2020-06-14,87
2020-08-07,146
2022-02-07,141
2021-06-09,135
2022-12-15,170
2021-07-22,184
2019-06-08,122
2021-02-28,133
2021-11-14,161
2019-02-01,20
2021-10-28,129
2021-12-30,158
2020-05-27,185
2022-08-04,130
2022-09-24,196
2022-04-16,19
2020-01-24,145
2020-02-17,20
2022-04-01,78
2020-04-18,10
2019-08-07,52
2019-09-19,39
2021-02-01,190
2019-04-12,199
2021-02-03,43
2021-11-19,20
2020-06-14,58
2020-07-02,52
2020-11-02,12
2019-01-02,140
2020-12-09,57
2019-06-05,31
2021-06-11,129
2022-10-27,169
2022-02-07,181
2022-07-31,200
2019-12-24,10
2020-08-05,192
2021-10-13,55
2020-02-02,26
2020-01-08,65
2019-02-26,27
